language,model,label,f1,precision,recall,support
zul,mbert,anger,0.0,0.0,0.0,167
zul,mbert,disgust,0.0,0.0,0.0,59
zul,mbert,fear,0.0,0.0,0.0,67
zul,mbert,joy,0.0,0.0,0.0,121
zul,mbert,sadness,0.0,0.0,0.0,422
zul,mbert,surprise,0.0,0.0,0.0,184
xho,mbert,anger,0.0,0.0,0.0,66
xho,mbert,disgust,0.0,0.0,0.0,8
xho,mbert,fear,0.0,0.0,0.0,31
xho,mbert,joy,0.0,0.0,0.0,495
xho,mbert,sadness,0.0,0.0,0.0,658
xho,mbert,surprise,0.0,0.0,0.0,254
swa,mbert,anger,0.0,0.0,0.0,314
swa,mbert,disgust,0.0,0.0,0.0,242
swa,mbert,fear,0.0,0.0,0.0,94
swa,mbert,joy,0.0,0.0,0.0,448
swa,mbert,sadness,0.0,0.0,0.0,350
swa,mbert,surprise,0.0,0.0,0.0,534
